team_name,percentage,result
AFC Bournemouth,23.68421,draw
AFC Bournemouth,47.36842,loss
AFC Bournemouth,28.947369,win
Arsenal,28.947369,draw
Arsenal,18.421053,loss
Arsenal,52.63158,win
Aston Villa,21.052631,draw
Aston Villa,71.052635,loss
Aston Villa,7.894737,win
Chelsea,36.842106,draw
Chelsea,31.578947,loss
Chelsea,31.578947,win
Crystal Palace,23.68421,draw
Crystal Palace,47.36842,loss
Crystal Palace,28.947369,win
Everton,36.842106,draw
Everton,34.210526,loss
Everton,28.947369,win
Leicester City,31.578947,draw
Leicester City,7.894737,loss
Leicester City,60.526318,win
Liverpool,31.578947,draw
Liverpool,26.31579,loss
Liverpool,42.105263,win
Manchester City,23.68421,draw
Manchester City,26.31579,loss
Manchester City,50,win
Manchester United,23.68421,draw
Manchester United,26.31579,loss
Manchester United,50,win
Newcastle United,26.31579,draw
Newcastle United,50,loss
Newcastle United,23.68421,win
Norwich City,18.421053,draw
Norwich City,57.894737,loss
Norwich City,23.68421,win
Southampton,23.68421,draw
Southampton,28.947369,loss
Southampton,47.36842,win
Stoke City,23.68421,draw
Stoke City,39.473682,loss
Stoke City,36.842106,win
Sunderland,31.578947,draw
Sunderland,44.736843,loss
Sunderland,23.68421,win
Swansea City,27.5,draw
Swansea City,40,loss
Swansea City,32.5,win
Tottenham Hotspur,34.210526,draw
Tottenham Hotspur,15.789474,loss
Tottenham Hotspur,50,win
Watford,23.68421,draw
Watford,44.736843,loss
Watford,31.578947,win
West Bromwich Albion,34.210526,draw
West Bromwich Albion,39.473682,loss
West Bromwich Albion,26.31579,win
West Ham United,36.842106,draw
West Ham United,21.052631,loss
West Ham United,42.105263,win
