team_id,team_name,match_week,points
1,Arsenal,1,0
1,Arsenal,2,3
1,Arsenal,3,4
1,Arsenal,4,7
1,Arsenal,5,10
1,Arsenal,6,10
1,Arsenal,7,13
1,Arsenal,8,16
1,Arsenal,9,19
1,Arsenal,10,22
1,Arsenal,11,25
1,Arsenal,12,26
1,Arsenal,13,26
1,Arsenal,14,27
1,Arsenal,15,30
1,Arsenal,16,33
1,Arsenal,17,36
1,Arsenal,18,36
1,Arsenal,19,39
1,Arsenal,20,42
1,Arsenal,21,43
1,Arsenal,22,44
1,Arsenal,23,44
1,Arsenal,24,45
1,Arsenal,25,48
1,Arsenal,26,51
1,Arsenal,27,51
1,Arsenal,28,51
1,Arsenal,29,52
1,Arsenal,30,55
1,Arsenal,31,58
1,Arsenal,32,61
1,Arsenal,33,62
1,Arsenal,34,63
1,Arsenal,35,64
1,Arsenal,36,67
1,Arsenal,37,68
1,Arsenal,38,71
22,Leicester City,1,3
22,Leicester City,2,6
22,Leicester City,3,7
22,Leicester City,4,8
22,Leicester City,5,11
22,Leicester City,6,12
22,Leicester City,7,12
22,Leicester City,8,15
22,Leicester City,9,16
22,Leicester City,10,19
22,Leicester City,11,22
22,Leicester City,12,25
22,Leicester City,13,28
22,Leicester City,14,29
22,Leicester City,15,32
22,Leicester City,16,35
22,Leicester City,17,38
22,Leicester City,18,38
22,Leicester City,19,39
22,Leicester City,20,40
22,Leicester City,21,43
22,Leicester City,22,44
22,Leicester City,23,47
22,Leicester City,24,50
22,Leicester City,25,53
22,Leicester City,26,53
22,Leicester City,27,56
22,Leicester City,28,57
22,Leicester City,29,60
22,Leicester City,30,63
22,Leicester City,31,66
22,Leicester City,32,69
22,Leicester City,33,72
22,Leicester City,34,73
22,Leicester City,35,76
22,Leicester City,36,77
22,Leicester City,37,80
22,Leicester City,38,81
36,Manchester City,1,3
36,Manchester City,2,6
36,Manchester City,3,9
36,Manchester City,4,12
36,Manchester City,5,15
36,Manchester City,6,15
36,Manchester City,7,15
36,Manchester City,8,18
36,Manchester City,9,21
36,Manchester City,10,22
36,Manchester City,11,25
36,Manchester City,12,26
36,Manchester City,13,26
36,Manchester City,14,29
36,Manchester City,15,29
36,Manchester City,16,32
36,Manchester City,17,32
36,Manchester City,18,35
36,Manchester City,19,36
36,Manchester City,20,39
36,Manchester City,21,40
36,Manchester City,22,43
36,Manchester City,23,44
36,Manchester City,24,47
36,Manchester City,25,47
36,Manchester City,26,47
36,Manchester City,27,48
36,Manchester City,28,48
36,Manchester City,29,51
36,Manchester City,30,52
36,Manchester City,31,52
36,Manchester City,32,55
36,Manchester City,33,58
36,Manchester City,34,61
36,Manchester City,35,64
36,Manchester City,36,64
36,Manchester City,37,65
36,Manchester City,38,66
38,Tottenham Hotspur,1,0
38,Tottenham Hotspur,2,1
38,Tottenham Hotspur,3,2
38,Tottenham Hotspur,4,3
38,Tottenham Hotspur,5,6
38,Tottenham Hotspur,6,9
38,Tottenham Hotspur,7,12
38,Tottenham Hotspur,8,13
38,Tottenham Hotspur,9,14
38,Tottenham Hotspur,10,17
38,Tottenham Hotspur,11,20
38,Tottenham Hotspur,12,21
38,Tottenham Hotspur,13,24
38,Tottenham Hotspur,14,25
38,Tottenham Hotspur,15,26
38,Tottenham Hotspur,16,26
38,Tottenham Hotspur,17,29
38,Tottenham Hotspur,18,32
38,Tottenham Hotspur,19,35
38,Tottenham Hotspur,20,36
38,Tottenham Hotspur,21,36
38,Tottenham Hotspur,22,39
38,Tottenham Hotspur,23,42
38,Tottenham Hotspur,24,45
38,Tottenham Hotspur,25,48
38,Tottenham Hotspur,26,51
38,Tottenham Hotspur,27,54
38,Tottenham Hotspur,28,54
38,Tottenham Hotspur,29,55
38,Tottenham Hotspur,30,58
38,Tottenham Hotspur,31,61
38,Tottenham Hotspur,32,62
38,Tottenham Hotspur,33,65
38,Tottenham Hotspur,34,68
38,Tottenham Hotspur,35,69
38,Tottenham Hotspur,36,70
38,Tottenham Hotspur,37,70
38,Tottenham Hotspur,38,70
